year,month,state,locality,lat,lon,individualCount,dataSource
2025,12,New South Wales,,-34.597309,150.899983,1,iNaturalist Australia
2021,2,Victoria,,-38.145977,145.114197,1,iNaturalist Australia
2022,1,Western Australia,,-31.850502,115.748979,1,iNaturalist Australia
2025,10,South Australia,,-35.160515,138.469668,1,iNaturalist Australia
2025,5,Victoria,,-38.172478,144.729019,1,iNaturalist Australia
2020,11,Victoria,,-38.335404,144.745676,1,iNaturalist Australia
2025,8,Western Australia,,-32.053683,115.741974,1,iNaturalist Australia
2011,12,New South Wales,,-36.898781,149.927091,1,iNaturalist Australia
2022,8,South Australia,,-35.148992,138.467878,1,iNaturalist Australia
2021,10,New South Wales,,-33.800623,151.297249,1,iNaturalist Australia
2025,3,Victoria,,-38.47568,145.027976,1,iNaturalist Australia
2024,2,South Australia,,-35.149188,138.46463,1,iNaturalist Australia
2022,1,Western Australia,,-32.052973,115.725366,1,iNaturalist Australia
2016,1,New South Wales,,-36.895192,149.91397,1,iNaturalist Australia
2020,2,Victoria,,-38.365551,144.822784,1,iNaturalist Australia
2024,9,Western Australia,,-33.636547,115.340478,1,iNaturalist Australia
2020,9,New South Wales,,-33.800567,151.297202,1,iNaturalist Australia
2025,5,New South Wales,,-33.855267,151.20317,1,iNaturalist Australia
2018,1,Victoria,,-38.36606,144.822464,1,iNaturalist Australia
2024,10,New South Wales,,-34.597792,150.901056,1,iNaturalist Australia
2023,1,South Australia,,-35.444553,138.307176,1,iNaturalist Australia
2025,5,New South Wales,,-33.992116,151.231191,1,iNaturalist Australia
2025,3,South Australia,,-35.655403,137.64537,1,iNaturalist Australia
2022,5,New South Wales,,-33.800401,151.297008,1,iNaturalist Australia
2020,12,South Australia,,-35.045053,138.506997,1,iNaturalist Australia
2008,3,South Australia,,-35.084901,137.748799,1,iNaturalist Australia
2019,12,Victoria,,-37.931251,144.990528,1,iNaturalist Australia
2025,11,New South Wales,,-33.800518,151.297138,1,iNaturalist Australia
2023,10,South Australia,,-35.039633,138.511467,1,iNaturalist Australia
2021,9,Victoria,,-38.350072,144.907228,1,iNaturalist Australia
2026,5,Western Australia,,-32.00388,115.747812,1,iNaturalist Australia
2022,2,South Australia,,-35.147828,138.465543,1,iNaturalist Australia
2020,4,New South Wales,,-32.717311,152.141412,1,iNaturalist Australia
2025,10,New South Wales,,-33.839591,151.254102,1,iNaturalist Australia
2020,11,Victoria,,-38.356902,144.773356,1,iNaturalist Australia
2019,11,Western Australia,,-31.825744,115.733314,1,iNaturalist Australia
2025,9,Victoria,,-38.840142,146.001053,1,iNaturalist Australia
2026,4,New South Wales,,-35.857654,150.18294,1,iNaturalist Australia
2020,4,New South Wales,,-33.799784,151.278779,1,iNaturalist Australia
2022,3,South Australia,,-35.148796,138.466038,1,iNaturalist Australia
2025,11,New South Wales,,-35.858673,150.180942,1,iNaturalist Australia
2020,10,New South Wales,,-33.839582,151.252212,1,iNaturalist Australia
2022,12,South Australia,,-35.148284,138.464855,1,iNaturalist Australia
2025,11,Victoria,,-38.35704,144.772902,1,iNaturalist Australia
2025,1,New South Wales,,-33.800562,151.296673,1,iNaturalist Australia
2024,10,Western Australia,,-32.10134,115.756603,1,iNaturalist Australia
2023,5,South Australia,,-35.499239,138.245462,1,iNaturalist Australia
2021,5,Western Australia,,-32.05734,115.737759,1,iNaturalist Australia
2020,6,Victoria,,-38.254579,145.282344,1,iNaturalist Australia
2021,2,New South Wales,,-33.844658,151.2182,1,iNaturalist Australia
2025,5,New South Wales,,-33.800687,151.296996,1,iNaturalist Australia
2025,3,Victoria,,-38.26975,144.663162,1,iNaturalist Australia
2025,10,Victoria,,-38.28516,144.631711,1,iNaturalist Australia
2021,2,New South Wales,,-33.839889,151.252999,1,iNaturalist Australia
2022,10,Western Australia,,-32.123973,115.758428,1,iNaturalist Australia
2018,2,South Australia,,-35.042196,138.509151,1,iNaturalist Australia
2025,5,New South Wales,,-33.839887,151.256475,1,iNaturalist Australia
2025,2,Victoria,,-38.365733,144.823021,1,iNaturalist Australia
2024,4,Victoria,,-38.190716,144.713554,1,iNaturalist Australia
2026,3,Tasmania,,-42.88871,147.338733,1,iNaturalist Australia
2018,9,New South Wales,,-33.916208,151.263801,1,iNaturalist Australia
2021,1,Victoria,,-37.931754,144.990527,1,iNaturalist Australia
2024,4,South Australia,,-34.621672,135.472078,1,iNaturalist Australia
2020,4,South Australia,,-35.297967,138.437892,1,iNaturalist Australia
2025,4,New South Wales,,-33.799684,151.29683,1,iNaturalist Australia
2025,11,New South Wales,,-33.799949,151.296211,1,iNaturalist Australia
2020,10,South Australia,,-34.998482,138.510246,1,iNaturalist Australia
2021,6,New South Wales,,-34.0033,151.226292,1,iNaturalist Australia
2024,12,South Australia,,-35.039879,138.513777,1,iNaturalist Australia
2020,8,New South Wales,,-33.980412,151.253029,1,iNaturalist Australia
2020,10,New South Wales,,-32.788812,152.115228,1,iNaturalist Australia
2022,3,Victoria,,-37.930062,144.990142,1,iNaturalist Australia
2020,1,Victoria,,-38.357261,144.772694,1,iNaturalist Australia
2025,11,Victoria,,-38.63515,145.712172,1,iNaturalist Australia
2020,1,South Australia,,-35.148746,138.464179,1,iNaturalist Australia
2019,5,New South Wales,,-34.063941,151.157877,1,iNaturalist Australia
2021,3,Tasmania,,-43.580335,146.89579,1,iNaturalist Australia
2007,2,South Australia,,-35.150643,138.464966,1,iNaturalist Australia
2023,10,South Australia,,-35.017522,138.512283,1,iNaturalist Australia
2023,10,South Australia,,-35.469563,138.290275,1,iNaturalist Australia
2023,12,Western Australia,,-31.851725,115.751066,1,iNaturalist Australia
2019,2,South Australia,,-35.121282,138.465816,1,iNaturalist Australia
2023,7,Victoria,,-38.335558,144.745792,1,iNaturalist Australia
2019,6,New South Wales,,-35.069825,150.69197,1,iNaturalist Australia
2025,2,New South Wales,,-34.002927,151.227908,1,iNaturalist Australia
